Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-609794,-1427109,1528479,268178
Depreciation & amortization,-,303804,145881,108015
Change in working capital,-,-3147838,-2798226,-45120
Inventory,-,-974585,-277298,-199105
Other working capital,-,-3722087,-1717975,89817
Other non-cash items,-,7617,76098,80544
Net cash provided by operating activites,-,-3000562,-1532376,202856
Investments in property plant and equipment,-,-721525,-185599,-113039
Acquisitions net,-,-50000,-265126,-
Purchases of investments,-,-,-,-1750000
Other investing activites,-,-57990,-32275,-42897
Net cash used for investing activites,-,-1199515,-703000,1295533
Net change in cash,-,-4931169,3783709,4173269
Cash at beginning of period,-,9291037,5507328,1334058
Cash at end of period,-,4359868,9291037,5507328
Operating Cash Flow,-,-3000562,-1532376,202856
Capital Expenditure,-,-721525,-185599,-113039
Free Cash Flow,-,-3722087,-1717975,89817
