Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,23752,70379,-175743,-168871
Depreciation & amortization,-,4002,5094,3304
Stock based compensation,-,0,3341,-
Change in working capital,-,-276100,56929,-351029
Inventory,-,-,78909,0
Other working capital,223176,-202502,92931,-338411
Other non-cash items,-,15669,-55,-15609
Net cash provided by operating activites,223286,-202203,96018,-303796
Investments in property plant and equipment,-110,-299,-3087,-34615
Acquisitions net,-,0,-168531,0
Purchases of investments,0,-29179,0,0
Sales/Maturities of investments,-1,3604,-,-
Other investing activites,-,-,147000,140000
Net cash used for investing activites,16580,-11786,-80309,111409
Net change in cash,48549,-209444,24467,-158502
Cash at beginning of period,59837,282771,253492,399243
Cash at end of period,108386,73810,282771,253492
Operating Cash Flow,223286,-202203,96018,-303796
Capital Expenditure,-110,-299,-3087,-34615
Free Cash Flow,223176,-202502,92931,-338411
