Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,195988,129827,236283,176859
Depreciation & amortization,45538,50729,49426,44031
Stock based compensation,13117,7153,-,-
Change in working capital,9145,-81408,38778,-18120
Inventory,-6852,-2603,-12498,9
Other working capital,300155,80556,247582,82584
Other non-cash items,-6274,22,-9285,-5040
Net cash provided by operating activites,404609,209934,349063,239210
Investments in property plant and equipment,-104454,-129378,-101481,-156626
Acquisitions net,-1097,-33000,-,-
Purchases of investments,-100450,-55803,-,-10930
Sales/Maturities of investments,-,-,49358,0
Other investing activites,-633,222,-2455,-1
Net cash used for investing activites,-206634,-217959,-54578,-167557
Net change in cash,118051,-276878,243283,-51665
Cash at beginning of period,717617,1122066,878782,930447
Cash at end of period,835779,845188,1122066,878782
Operating Cash Flow,404609,209934,349063,239210
Capital Expenditure,-104454,-129378,-101481,-156626
Free Cash Flow,300155,80556,247582,82584
