Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,625249,485811,503442,487224
Depreciation & amortization,-,727201,594081,583142
Change in working capital,-,-111141,-333360,61221
Inventory,-,111081,12708,-108091
Other working capital,-,-233635,-260766,995740
Other non-cash items,-,-17262,72502,60933
Net cash provided by operating activites,-,1514088,895018,1367667
Investments in property plant and equipment,-,-1747723,-1155784,-371927
Acquisitions net,-,-,-529632,-
Purchases of investments,-,-28021,-100,-100
Sales/Maturities of investments,-,28000,-,-
Other investing activites,-,-105868,-72224,-48154
Net cash used for investing activites,-,-1712740,-1738202,-420181
Net change in cash,-,184137,944015,-1617
Cash at beginning of period,-,2171248,1227232,1228850
Cash at end of period,-,2355386,2171248,1227232
Operating Cash Flow,-,1514088,895018,1367667
Capital Expenditure,-,-1747723,-1155784,-371927
Free Cash Flow,-,-233635,-260766,995740
