Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,618542,618542,597985,528027,450384
Interest Expense,194361,194361,122056,80442,81200
Income Before Tax,349369,349369,337687,298307,242200
Income Tax Expense,70234,70234,65802,122265,67101
Income from Continuing Operations,279135,279135,271885,176042,175099
Net Income,279135,279135,271885,176042,175099
Net Income available to common shareholders,279135,279135,271885,176042,175099
Basic EPS,-,-,3.35,2.19,2.21
Diluted EPS,-,-,3.34,2.17,2.19
Basic Average Shares,-,-,81131,80263,79154
Diluted Average Shares,-,-,81607,81005,79929
