Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Total Revenue,43585,21267,28263,123006
Selling General and Administrative,727,852,739,725
Total Operating Expenses,727,852,739,725
Interest Expense,1257,1151,932,983
Income Before Tax,42858,20415,27524,122281
Income Tax Expense,2084,2035,1837,1653
Income from Continuing Operations,40774,18380,25687,120628
Net Income,40774,18380,25687,120628
Net Income available to common shareholders,40774,18380,25687,120628
Basic EPS,-,0.13,0.18,0.83
Diluted EPS,-,0.13,0.18,0.83
Basic Average Shares,-,142153,142573,144694
Diluted Average Shares,-,142153,142573,144694
