Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,13683999,12115484,9706349,9450600
Liabilities,,,,
Total Liabilities,11723266,10599630,8507292,8333731
Stockholders' Equity,,,,
Common Stock,923,845,780,765
Retained Earnings,541050,473183,402259,374379
Accumulated other comprehensive income,40226,-9427,-1979,-7382
Total stockholders' equity,1960733,1515854,1199057,1116869
Total liabilities and stockholders' equity,13683999,12115484,9706349,9450600
