Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,1207336,1676268,909575,211316
Depreciation & amortization,-,297401,310199,315494
Change in working capital,-,-1861486,-2046713,930853
Inventory,-,-462503,-837802,-376916
Other working capital,-,427635,-1216204,635275
Other non-cash items,-,357148,237409,-30651
Net cash provided by operating activites,-,694584,-898584,1128092
Investments in property plant and equipment,-,-266949,-317620,-492817
Purchases of investments,-,-355,-438,-2564
Sales/Maturities of investments,-,38629,4520,11197
Other investing activites,-,-75771,-37234,-100642
Net cash used for investing activites,-,-297737,-348357,-580942
Net change in cash,-,102182,177942,254995
Cash at beginning of period,-,4391776,4213834,3958838
Cash at end of period,-,4493959,4391776,4213834
Operating Cash Flow,-,694584,-898584,1128092
Capital Expenditure,-,-266949,-317620,-492817
Free Cash Flow,-,427635,-1216204,635275
