Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-4276,-5233,-3826,-3389,-497.691
Purchases of investments,-,-,-34.905,-984.877,-1437
Other investing activites,163.156,2070,146.009,131,2601
Net cash used for investing activites,-4197,-3164,-3715,-4243,666.507
Common stock issued,-,5181,7510,7032,3892
Common stock repurchased,-,-459.543,-478.459,-460.191,-150.909
Net cash used privided by (used for) financing activities,-,4722,7031,6572,3741
Net change in cash,-510.521,95.508,1923,1496,3429
Cash at beginning of period,3923,7974,6051,4556,1127
Cash at end of period,3413,8069,7974,6051,4556
Capital Expenditure,-4276,-5233,-3826,-3389,-497.691
Free Cash Flow,-5353,-6696,-5220,-4222,-1477
