Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-18.208,-1653,-955.825,-702.469
Other investing activites,-,514.925,-45.246,-,-
Net cash used for investing activites,-43.982,496.717,-1697,-921.687,-688.797
Common stock issued,-,531,3067,3049,1301
Common stock repurchased,-,-13.523,-349.662,-194.318,-85.791
Net cash used privided by (used for) financing activities,-,517.477,2718,2855,1215
Net change in cash,549.629,-512.254,42.343,1016,-91.376
Cash at beginning of period,1481,1684,1642,625.917,717.648
Cash at end of period,2031,1173,1684,1642,625.917
Capital Expenditure,-,-18.208,-1653,-955.825,-702.469
Free Cash Flow,-1784,-1545,-2631,-1873,-1320
