Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,777939,777939,686921,563653,517709
Interest Expense,-,-,0,455,1339
Income Before Tax,225326,225326,174782,89777,92436
Income Tax Expense,52302,52302,15315,6129,-725
Income from Continuing Operations,173024,173024,159467,83648,93161
Net Income,126121,126121,159467,83648,93161
Net Income available to common shareholders,83769,83769,159467,83648,93161
Basic EPS,-,-,0.72,0.38,0.42
Diluted EPS,-,-,0.72,0.38,0.42
Basic Average Shares,-,-,222113,222113,222113
Diluted Average Shares,-,-,222118,222118,222118
