Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,7106000,6598000,6577000,7836000
Depreciation & amortization,-,9160000,9125000,8624000
Change in working capital,-,-1693000,931000,-6066000
Inventory,-,-4132000,-120000,-2302000
Other working capital,-,8303000,7518000,3539000
Other non-cash items,-,936000,682000,549000
Net cash provided by operating activites,-,16706000,15296000,10389000
Investments in property plant and equipment,-,-8403000,-7778000,-6850000
Acquisitions net,-,-166000,-2231000,-182000
Purchases of investments,-,-33000,-12000,-11000
Sales/Maturities of investments,-,32000,57000,8434000
Other investing activites,-,207000,2055000,-538000
Net cash used for investing activites,-,-7329000,-6512000,1419000
Net change in cash,-,4963000,2381000,9302000
Cash at beginning of period,-,27855000,25474000,16171000
Cash at end of period,-,32914000,27855000,25474000
Operating Cash Flow,-,16706000,15296000,10389000
Capital Expenditure,-,-8403000,-7778000,-6850000
Free Cash Flow,-,8303000,7518000,3539000
