Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,10989000,11375000,7847931,7203702
Depreciation & amortization,-,752000,536022,414530
Change in working capital,-,-3867000,1808568,-16239
Inventory,-,-1572000,-7558,-322135
Other working capital,-,9914000,6113651,6428315
Other non-cash items,-,1398000,88501,1016662
Net cash provided by operating activites,-,10508000,10132238,8531244
Investments in property plant and equipment,-,-594000,-4018587,-2102929
Purchases of investments,-,-128000,-523451,-295663
Sales/Maturities of investments,-,29000,-,1352446
Other investing activites,-,-3224000,-2988506,238302
Net cash used for investing activites,-,-3885000,-6607360,-809973
Net change in cash,-,4249000,1445075,6066457
Cash at beginning of period,-,22036000,20591245,14524788
Cash at end of period,-,26285000,22036321,20591245
Operating Cash Flow,-,10508000,10132238,8531244
Capital Expenditure,-,-594000,-4018587,-2102929
Free Cash Flow,-,9914000,6113651,6428315
