Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,4992654,4655249,2860231,2450948
Liabilities,,,,
Total Liabilities,4282789,3952265,2553366,2171131
Stockholders' Equity,,,,
Common Stock,20524,21938,13227,12958
Retained Earnings,163375,112131,74894,57262
Accumulated other comprehensive income,4900,-2888,336,-3052
Total stockholders' equity,709865,702984,306865,279817
Total liabilities and stockholders' equity,4992654,4655249,2860231,2450948
