Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,514880000,541932000,759998000,627870000
Depreciation & amortization,-,218915000,310179000,301638000
Change in working capital,-,1679283000,9633847000,2549632000
Other working capital,-,2137693000,10325043000,3104154000
Other non-cash items,-,81599000,395318000,104575000
Net cash provided by operating activites,-,2785833000,11171981000,3740599000
Investments in property plant and equipment,-,-648140000,-846938000,-636445000
Acquisitions net,-,-57182000,-1013041000,-199356000
Purchases of investments,-,-25180140000,-22497872000,-19656688000
Sales/Maturities of investments,-,26729976000,20462147000,21173850000
Other investing activites,-,-2000,1956000,1192000
Net cash used for investing activites,-,1201570000,-3593677000,851580000
Debt repayment,-,-34721000,-190034000,-382640000
Common stock issued,-,294000,521000,-
Common stock repurchased,-,-299239000,-135000000,-86887000
Dividends Paid,-,-245595000,-218569000,-205078000
Other financing activites,-,-82037000,77556000,76382000
Net cash used privided by (used for) financing activities,-,-731392000,-360802000,-174251000
Net change in cash,-,3300073000,7171637000,4117853000
Cash at beginning of period,-,53416456000,46244819000,42126966000
Cash at end of period,-,56716529000,53416456000,46244819000
Operating Cash Flow,-,2785833000,11171981000,3740599000
Capital Expenditure,-,-648140000,-846938000,-636445000
Free Cash Flow,-,2137693000,10325043000,3104154000
