Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,148740,148740,105585,73545,51588
Interest Expense,26723,26723,15091,6909,4315
Income Before Tax,56446,56446,27017,17571,14049
Income Tax Expense,12701,12701,5792,6955,3930
Income from Continuing Operations,43745,43745,21225,10616,10119
Net Income,43745,43745,21225,10616,10119
Net Income available to common shareholders,43745,43745,21225,10616,9800
Basic EPS,-,-,1.43,1.12,1.78
Diluted EPS,-,-,1.43,1.11,1.57
Basic Average Shares,-,-,14831,9479,8991
Diluted Average Shares,-,-,14831,9564,8991
