Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,1161778,1161778,1119326,714217,512058
Depreciation & amortization,-,-,8268,7203,7322
Change in working capital,-,-,-2764109,-1235128,-2288554
Inventory,-,-,-1394387,-4652418,898016
Other working capital,-,-,-1673596,-196275,-2306111
Other non-cash items,-,-,-50886,207776,-185693
Net cash provided by operating activites,-,-,-1657379,-185025,-2303027
Investments in property plant and equipment,-,-,-16217,-11250,-3084
Acquisitions net,-,-,-89545,-4974221,-
Other investing activites,-,-,125058,-,-
Net cash used for investing activites,-,-,86544,-5953842,-1140567
Net change in cash,-,-,-2024113,200370,-5241342
Cash at beginning of period,-,-,5631889,5431519,10672861
Cash at end of period,-,-,3607776,5631889,5431519
Operating Cash Flow,-,-,-1657379,-185025,-2303027
Capital Expenditure,-,-,-16217,-11250,-3084
Free Cash Flow,-,-,-1673596,-196275,-2306111
