Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,323004,203879,39028,192091
Depreciation & amortization,-,65396,53152,54110
Change in working capital,-,1453216,442007,-198739
Other working capital,-,1817292,589151,-147215
Other non-cash items,-,15051,56822,-90613
Net cash provided by operating activites,-,1817292,589151,-147215
Sales/Maturities of investments,-,-,-,5407
Other investing activites,-,-284468,-70342,-124847
Net cash used for investing activites,-,-281105,-70342,-119440
Net change in cash,-,1520282,1162823,-293569
Cash at beginning of period,-,2117873,955050,1248619
Cash at end of period,-,3638155,2117873,955050
Operating Cash Flow,-,1817292,589151,-147215
Free Cash Flow,-,1817292,589151,-147215
