Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-146.845,-53,-139,-90,-26
Acquisitions net,-,-,-,-,-3138
Other investing activites,-13.226,-2,-156,-,36
Net cash used for investing activites,-152.071,-47,-330,-69,-3109
Debt repayment,-100,-120,-,-100,-
Common stock issued,-,-,-,-,4500
Common stock repurchased,-,-29,-58,-,-578
Dividends Paid,-,-,-146,-543,-
Other financing activites,-,-,-45,-666,-
Net cash used privided by (used for) financing activities,-123.753,-149,-204,-1309,3922
Net change in cash,383.829,1263,-358,-1160,1136
Cash at beginning of period,701.67,835,1193,2353,1217
Cash at end of period,1085,2098,835,1193,2353
Capital Expenditure,-146.845,-53,-139,-90,-26
Free Cash Flow,512.808,1406,37,128,297
