Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-14.051,-1.145,-12.814
Net cash used for investing activites,190.623,-1.145,-12.814
Common stock issued,-,-,5250
Common stock repurchased,-,-,-421.325
Net cash used privided by (used for) financing activities,-,-,4829
Net change in cash,-1039,-2751,3300
Cash at beginning of period,1553,3434,133.956
Cash at end of period,514.621,683.235,3434
Capital Expenditure,-14.051,-1.145,-12.814
Free Cash Flow,-1241,-2751,-1529
