Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,563713,693910,687861
Liabilities,,,
Total Liabilities,516577,641939,640463
Stockholders' Equity,,,
Common Stock,45179,45179,45179
Retained Earnings,-52201,-45544,-50898
Accumulated other comprehensive income,-939,-2726,-1940
Total stockholders' equity,47136,51971,47398
Total liabilities and stockholders' equity,563713,693910,687861
