Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-415107,-544766,63242,-14754
Depreciation & amortization,-,329499,255936,200154
Change in working capital,-,376979,-388149,-82533
Other working capital,-,-284521,148612,78215
Other non-cash items,-,-3046,80714,17002
Net cash provided by operating activites,-,203226,291964,331813
Investments in property plant and equipment,-,-487747,-143352,-253598
Acquisitions net,-,-410940,-,-49836
Purchases of investments,-,-55431,-111139,-162415
Other investing activites,-,-41706,-71128,-51084
Net cash used for investing activites,-,-995824,-329904,-516483
Net change in cash,-,-923236,1358149,172774
Cash at beginning of period,-,2541801,1183652,1010877
Cash at end of period,-,1618564,2541801,1183652
Operating Cash Flow,-,203226,291964,331813
Capital Expenditure,-,-487747,-143352,-253598
Free Cash Flow,-,-284521,148612,78215
