Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-61,-61,-444,-240,-83
Acquisitions net,-,-,-,-35543,-
Purchases of investments,-24810,-24810,-17335,-38507,-48588
Sales/Maturities of investments,9309,9309,4096,78557,1948
Other investing activites,-,-,-,-10169,-
Net cash used for investing activites,-3375,-3375,-13683,93,11520
Debt repayment,-,-,-,-26045,36575
Common stock issued,3,3,3,292,703
Common stock repurchased,-,-,-,-,-17
Dividends Paid,-7059,-7059,-6275,-36891,-9007
Net cash used privided by (used for) financing activities,-7056,-7056,-268,-62644,28254
Net change in cash,686,686,-3654,-53390,51591
Cash at beginning of period,14986,14986,18640,72031,20343
Cash at end of period,15672,15672,14986,18640,72031
Capital Expenditure,-61,-61,-444,-240,-83
Free Cash Flow,11056,11056,9853,8921,11734
