Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,5811000,6289000,7042000,7310000
Depreciation & amortization,-,7868000,7809000,7643000
Change in working capital,-,-8543000,-1999000,942000
Inventory,-,-427000,-113000,-34000
Other working capital,-,-3278000,8080000,9395000
Other non-cash items,-,1423000,1066000,882000
Net cash provided by operating activites,-,5808000,14351000,16508000
Investments in property plant and equipment,-,-9086000,-6271000,-7113000
Acquisitions net,-,-965000,-4278000,-
Purchases of investments,-,-49000,-264000,-44000
Sales/Maturities of investments,-,0,149000,-
Other investing activites,-,591000,52000,-809000
Net cash used for investing activites,-,-8697000,-9989000,-6281000
Net change in cash,-,-6860000,-2138000,11443000
Cash at beginning of period,-,29114000,31398000,19954000
Cash at end of period,-,22279000,29114000,31398000
Operating Cash Flow,-,5808000,14351000,16508000
Capital Expenditure,-,-9086000,-6271000,-7113000
Free Cash Flow,-,-3278000,8080000,9395000
