Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-2491,-2491,-3236,-2397,-3734
Acquisitions net,-,-,761.935,-25557,-
Other investing activites,-,-,5271,-,-
Net cash used for investing activites,-2476,-2476,2797,-27951,-3734
Debt repayment,-26549,-26549,-16027,-16891,-148.541
Common stock issued,30981,30981,-,53835,3988
Common stock repurchased,-1889,-1889,-,-2862,-
Net cash used privided by (used for) financing activities,11691,11691,9642,44457,18045
Net change in cash,-255.041,-255.041,-2206,3361,495.756
Cash at beginning of period,1905,1905,3645,622.548,311.057
Cash at end of period,2019,2019,1905,3645,622.548
Capital Expenditure,-2491,-2491,-3236,-2397,-3734
Free Cash Flow,-11960,-11960,-17882,-15542,-17549
