Breakdown,ttm,12/31/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-702.524,-702.524,-829.196,-,-2.223
Other investing activites,-,-,843.508,-,-
Net cash used for investing activites,-702.524,-702.524,14.312,-,-2.223
Debt repayment,-,-,-,-195.225,-
Common stock issued,-,-,4500,2027,-
Common stock repurchased,-,-,-331.519,-161.726,-
Net cash used privided by (used for) financing activities,-,-,4168,1855,10
Net change in cash,-1571,-1571,3569,863.982,-122.386
Cash at beginning of period,1803,1803,-,10.6,132.986
Cash at end of period,230.142,230.142,3569,874.582,10.6
Capital Expenditure,-702.524,-702.524,-829.196,-,-2.223
Free Cash Flow,-1571,-1571,-1443,-990.521,-132.386
