Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,526411,512595,447745,408249
Depreciation & amortization,-,374058,363706,325527
Change in working capital,-,101174,-237042,-112228
Inventory,-,46837,-97908,10408
Other working capital,-,865903,388147,303864
Other non-cash items,-,1830,1420,-2908
Net cash provided by operating activites,-,1006795,561823,673577
Investments in property plant and equipment,-,-140892,-173676,-369713
Other investing activites,-,-1284,-23701,-2128
Net cash used for investing activites,-,-142176,-209597,-386841
Net change in cash,-,589564,107644,58876
Cash at beginning of period,-,953100,845456,786579
Cash at end of period,-,1542665,953100,845456
Operating Cash Flow,-,1006795,561823,673577
Capital Expenditure,-,-140892,-173676,-369713
Free Cash Flow,-,865903,388147,303864
