Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-1243,-1939,-2419,-1397,-4233
Purchases of investments,-,-,-,-10.8957,-90.1387
Other investing activites,-,101.0138,-,-,-
Net cash used for investing activites,-1243,-1939,-2419,-1408,-4324
Common stock issued,-,-,-,1030,36807
Common stock repurchased,-4260,-4.2122,-13.1403,-15.4862,-1422
Net cash used privided by (used for) financing activities,-4260,-4.2122,-13.1403,1014,35385
Net change in cash,-8898,-4216,-9868,-6988,30883
Cash at beginning of period,26567,27758,36365,41203,11399
Cash at end of period,17669,23329,26339,34942,42679
Capital Expenditure,-1243,-1939,-2419,-1397,-4233
Free Cash Flow,-4638,-4212,-9855,-7991,-4412
