Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,986042,849618,753621
Liabilities,,,
Total Liabilities,798255,763765,671823
Stockholders' Equity,,,
Common Stock,135.266,0.001,0.002
Retained Earnings,70111,77480,71766
Accumulated other comprehensive income,-660.744,-4378,-2726
Total stockholders' equity,187787,85853,81798
Total liabilities and stockholders' equity,986042,849618,753621
