Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Investments in property plant and equipment,-1718,-1718,-795,-368,-427
Acquisitions net,-500,-500,-4161,-511,-
Purchases of investments,-7,-7,-,-,-
Net cash used for investing activites,-1991,-1991,-270,-876,-387
Debt repayment,-1725,-1725,-,-,-
Common stock repurchased,-86,-86,-,-,-
Dividends Paid,-599,-599,-819,-621,-573
Other financing activites,-142,-142,-,-,-
Net cash used privided by (used for) financing activities,-1052,-1052,6,-171,1227
Net change in cash,-1953,-1953,666,-1245,943
Cash at beginning of period,5044,5044,4381,5626,4683
Cash at end of period,3097,3097,5044,4381,5626
Capital Expenditure,-1718,-1718,-795,-368,-427
Free Cash Flow,-628,-628,135,-566,-324
