Breakdown,ttm,6/30/2019,6/30/2018
Investments in property plant and equipment,-5055,-6542,-6038
Net cash used for investing activites,-5055,-6473,-6038
Debt repayment,-2005,-1080,-2000
Common stock issued,9680,309.052,23772
Common stock repurchased,-,-,-1799
Net cash used privided by (used for) financing activities,7158,-770.949,19973
Net change in cash,-935.114,-9756,12000
Cash at beginning of period,6961,12533,501.879
Cash at end of period,6026,2800,12533
Capital Expenditure,-5055,-6542,-6038
Free Cash Flow,-8093,-9054,-7974
