Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,630328,623968,603044,584377
Liabilities,,,,
Total Liabilities,575677,572606,553587,536652
Stockholders' Equity,,,,
Common Stock,59,59,59,59
Retained Earnings,30971,27975,25757,24334
Accumulated other comprehensive income,-1330,-1474,-1004,-1159
Total stockholders' equity,54651,51362,49457,47725
Total liabilities and stockholders' equity,630328,623968,603044,584377
