Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,180300,180300,284300,135951,101172
Depreciation & amortization,729800,729800,320500,92031,72301
Stock based compensation,4900,4900,3200,-,-100
Change in working capital,-92300,-92300,-168900,-9190,-12585
Inventory,2300,2300,1800,-675.7031,-740.2838
Other working capital,832900,832900,471400,90004,81925
Other non-cash items,541700,541700,191700,11217,16903
Net cash provided by operating activites,1293700,1293700,631900,233523,185194
Investments in property plant and equipment,-460800,-460800,-160500,-143519,-103270
Acquisitions net,0,0,-3435000,-9460,-57989
Purchases of investments,-10000,-10000,-,-135.1406,-370.1419
Sales/Maturities of investments,1200,1200,-,-,-
Other investing activites,-,-,-,-7100,0
Net cash used for investing activites,141000,141000,-3559100,-149601,-160765
Net change in cash,-167100,-167100,218400,10136,-17397
Cash at beginning of period,316300,316300,91000,75408,77113
Cash at end of period,140600,140600,316300,91220,68846
Operating Cash Flow,1293700,1293700,631900,233523,185194
Capital Expenditure,-460800,-460800,-160500,-143519,-103270
Free Cash Flow,832900,832900,471400,90004,81925
