Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017
Net Income,-130446,-130446,472739,309487
Depreciation & amortization,611410,611410,245834,245734
Change in working capital,219068,219068,-21381,-96848
Inventory,22062,22062,43584,247006
Other working capital,279091,279091,212494,300992
Other non-cash items,-1790,-1790,-43764,21188
Net cash provided by operating activites,770999,770999,474570,427575
Investments in property plant and equipment,-491908,-491908,-262076,-126583
Acquisitions net,-2251198,-2251198,-,-
Purchases of investments,-2064,-2064,-339,-838
Sales/Maturities of investments,-,-,278899,-
Other investing activites,-11580,-11580,253,-574
Net cash used for investing activites,-2055817,-2055817,16737,-127995
Net change in cash,498161,498161,167918,202298
Cash at beginning of period,2429255,2429255,2961337,2759038
Cash at end of period,2927417,2927417,3129255,2961337
Operating Cash Flow,770999,770999,474570,427575
Capital Expenditure,-491908,-491908,-262076,-126583
Free Cash Flow,279091,279091,212494,300992
