Breakdown,6/30/2019,6/30/2018,12/31/2017
Total Assets,9593,10399,8077
Liabilities,,,
Total Liabilities,994.806,1618,2057
Stockholders' Equity,,,
Common Stock,2646,2706,2971
Retained Earnings,5632,5747,3049
Accumulated other comprehensive income,320.96,327.597,-
Total stockholders' equity,8598,8781,6020
Total liabilities and stockholders' equity,9593,10399,8077
