Breakdown,12/31/2018,12/31/2017,12/31/2016
Total Assets,21498341,19280873,17355179
Liabilities,,,
Total Liabilities,18662081,16612124,14773653
Stockholders' Equity,,,
Common Stock,71460,71207,70599
Retained Earnings,616149,419403,340201
Accumulated other comprehensive income,-61110,-25498,-40036
Total stockholders' equity,2836260,2668749,2581526
Total liabilities and stockholders' equity,21498341,19280873,17355179
