Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1492906,1515931,1518236,1518856
Liabilities,,,,
Total Liabilities,1062691,1106169,1092813,1062706
Stockholders' Equity,,,,
Common Stock,205,205,204,204
Retained Earnings,227165,221328,233896,270418
Accumulated other comprehensive income,12211,-832,3612,-492
Total stockholders' equity,430215,409762,425423,456150
Total liabilities and stockholders' equity,1492906,1515931,1518236,1518856
