Breakdown,ttm,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Revenue,457193,452447,275224,226146,147164
Interest Expense,59792,61522,27985,14873,4091
Income Before Tax,106242,97942,57410,55150,38822
Income Tax Expense,-1003,-3374,5117,10233,5602
Income from Continuing Operations,107245,101316,52293,44917,33220
Net Income,102674,97004,51620,44917,33220
Net Income available to common shareholders,102674,97004,51620,44917,33220
Basic EPS,-,2.49,1.68,1.62,1.32
Diluted EPS,-,2.49,1.67,1.61,1.31
Basic Average Shares,-,38881,30737,27741,25230
Diluted Average Shares,-,38922,30853,27908,25357
