Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-5852,-5852,-4170,-5598,-4506
Net cash used for investing activites,-5694,-5694,-4127,-5323,-4430
Debt repayment,-2214,-2214,-2001,-1939,-6178
Dividends Paid,-4279,-4279,-2853,-2615,-2140
Net cash used privided by (used for) financing activities,-6493,-6493,-4776,-4208,-3524
Net change in cash,-1684,-1684,2387,-159,825
Cash at beginning of period,8246,8246,5754,6001,5037
Cash at end of period,6481,6481,8246,5754,6001
Capital Expenditure,-5852,-5852,-4170,-5598,-4506
Free Cash Flow,4651,4651,7120,3774,4273
