Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-932000,1150000,4261000,4987000
Depreciation & amortization,-,7372000,6504000,6399000
Change in working capital,-,1327000,-2780000,1433000
Inventory,-,-1216000,-865000,-19000
Other working capital,-,-573000,-1963000,9758000
Other non-cash items,-,317000,267000,41000
Net cash provided by operating activites,-,11057000,6953000,13714000
Investments in property plant and equipment,-,-11630000,-8916000,-3956000
Acquisitions net,-,-7878000,-,-
Purchases of investments,-,-1000,-1000,-1000
Sales/Maturities of investments,-,253000,375000,3375000
Other investing activites,-,-308000,-313000,-516000
Net cash used for investing activites,-,-19502000,-8755000,-1002000
Net change in cash,-,653000,-996000,170000
Cash at beginning of period,-,1329000,2325000,2155000
Cash at end of period,-,1982000,1329000,2325000
Operating Cash Flow,-,11057000,6953000,13714000
Capital Expenditure,-,-11630000,-8916000,-3956000
Free Cash Flow,-,-573000,-1963000,9758000
