Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Total Revenue,106580000,107353000,100354000,97527000
Selling General and Administrative,62489000,66070000,61645000,60781000
Total Operating Expenses,66461000,66648000,62041000,60849000
Interest Expense,710000,686000,718000,954000
Income Before Tax,39923000,25744000,38163000,36542000
Income Tax Expense,13430000,12513000,12864000,11429000
Income from Continuing Operations,26493000,13231000,25299000,25113000
Net Income,26523000,13236000,25301000,25114000
Net Income available to common shareholders,26523000,13236000,25301000,25114000
Basic EPS,-,11.11,21.24,21.07
Diluted EPS,-,11.09,21.20,21.04
Basic Average Shares,-,1191405,1190963,1191431
Diluted Average Shares,-,1193508,1193443,1193631
