Breakdown,ttm,6/30/2019
Investments in property plant and equipment,-3237,-3237
Net cash used for investing activites,-3237,-3237
Common stock issued,6844,6844
Net cash used privided by (used for) financing activities,6844,6844
Net change in cash,2623,2623
Cash at beginning of period,171.068,171.068
Cash at end of period,2866,2866
Capital Expenditure,-3237,-3237
Free Cash Flow,-4221,-4221
