Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,40164,41159,38796,36465,32833
Interest Expense,3692,3888,2703,1730,1409
Income Before Tax,19501,21269,19349,15679,12254
Income Tax Expense,5582,6097,5332,7039,4869
Income from Continuing Operations,13919,15172,14017,8640,7385
Net Income,13919,15172,14017,8640,7385
Net Income available to common shareholders,13919,15172,14017,8640,7385
Basic EPS,-,-,0.83,0.51,0.44
Diluted EPS,-,-,0.83,0.51,0.44
Basic Average Shares,-,-,16900,16886,16871
Diluted Average Shares,-,-,16939,16904,16878
