Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-6693,-12772,-14383,-9912,-21656
Acquisitions net,-,-,-,-764,-27098
Purchases of investments,-,-,-,-,-15400
Sales/Maturities of investments,-,-,-,4737,-
Other investing activites,256,-275,-4627,-189,180
Net cash used for investing activites,1282,-13047,-17116,-6128,-63974
Common stock issued,-,-,-,28823,100000
Common stock repurchased,-,-,-,-368,-7499
Dividends Paid,-,-,-,-2179,-
Other financing activites,-,-,891,1172,-
Net cash used privided by (used for) financing activities,14152,19847,22335,27514,92501
Net change in cash,-783,-2314,-24558,9799,11821
Cash at beginning of period,2140,4463,28702,19372,7547
Cash at end of period,1357,1920,4463,28702,19372
Capital Expenditure,-6693,-12772,-14383,-9912,-21656
Free Cash Flow,-22910,-21886,-44160,-21499,-38362
