Breakdown,ttm,1/31/2019,1/31/2018,1/31/2017
Net Income,566336,426603,481907,466328
Depreciation & amortization,-,620555,631919,630888
Change in working capital,-,-754155,1077980,-1396137
Inventory,-,-1088949,986985,-1280017
Other working capital,-,-1247683,1226694,-674904
Other non-cash items,-,10492,144929,162436
Net cash provided by operating activites,-,70842,1833715,-113549
Investments in property plant and equipment,-,-1318525,-607021,-561355
Purchases of investments,-,-,-41015,-
Sales/Maturities of investments,-,-,226263,25361
Other investing activites,-,59511,52527,37039
Net cash used for investing activites,-,-1259014,2231869,-498955
Net change in cash,-,-1453402,2327854,-919649
Cash at beginning of period,-,2968335,640480,1560130
Cash at end of period,-,1514932,2968335,640480
Operating Cash Flow,-,70842,1833715,-113549
Capital Expenditure,-,-1318525,-607021,-561355
Free Cash Flow,-,-1247683,1226694,-674904
