Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,2445401,2113020,1511406,1206037
Depreciation & amortization,-,826145,839719,806725
Change in working capital,-,334789,572,-279450
Other working capital,-,2930944,2993497,1982531
Other non-cash items,-,117519,1074004,881318
Net cash provided by operating activites,-,3425824,3547365,2586712
Investments in property plant and equipment,-,-494880,-553868,-604181
Acquisitions net,-,-,-43710,-
Purchases of investments,-,-549000,-,-
Sales/Maturities of investments,-,-,32750,11210
Other investing activites,-,-132213,-27576,-2694
Net cash used for investing activites,-,-1176093,-592404,-595665
Net change in cash,-,1528624,2562515,1374884
Cash at beginning of period,-,16609271,14046756,12671871
Cash at end of period,-,18137895,16609271,14046756
Operating Cash Flow,-,3425824,3547365,2586712
Capital Expenditure,-,-494880,-553868,-604181
Free Cash Flow,-,2930944,2993497,1982531
