Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,6966000,6538000,4689000,5474000
Depreciation & amortization,-,226000,200000,189000
Change in working capital,-,-8738000,-6588000,-4048000
Inventory,-,-9753000,-6466000,-5135000
Other working capital,-,-673000,-2336000,1751000
Other non-cash items,-,370000,-54000,187000
Net cash provided by operating activites,-,-599000,-2304000,1788000
Investments in property plant and equipment,-,-74000,-32000,-37000
Purchases of investments,-,-5000,-5000,-5000
Sales/Maturities of investments,-,-,80000,50000
Other investing activites,-,-17000,214000,-132000
Net cash used for investing activites,-,-96000,257000,-124000
Net change in cash,-,-926000,-1212000,2275000
Cash at beginning of period,-,13680000,14893000,12617000
Cash at end of period,-,12754000,13680000,14893000
Operating Cash Flow,-,-599000,-2304000,1788000
Capital Expenditure,-,-74000,-32000,-37000
Free Cash Flow,-,-673000,-2336000,1751000
