Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,700000,332000,2536000,5152000
Depreciation & amortization,-,2586000,2221000,2368000
Change in working capital,-,-273000,51000,-1219000
Inventory,-,91000,-587000,88000
Other working capital,-,1792000,3457000,-2475000
Other non-cash items,-,395000,-447000,-97000
Net cash provided by operating activites,-,3945000,5581000,4098000
Investments in property plant and equipment,-,-2153000,-2124000,-6573000
Acquisitions net,-,-,-2892000,-
Purchases of investments,-,-1848000,-596000,-1986000
Sales/Maturities of investments,-,1425000,763000,882000
Other investing activites,-,129000,-16000,25000
Net cash used for investing activites,-,-2411000,-4834000,-5720000
Net change in cash,-,552000,-598000,-2893000
Cash at beginning of period,-,24545000,25143000,28036000
Cash at end of period,-,25081000,24545000,25143000
Operating Cash Flow,-,3945000,5581000,4098000
Capital Expenditure,-,-2153000,-2124000,-6573000
Free Cash Flow,-,1792000,3457000,-2475000
