Breakdown,3/31/2019,3/31/2018,3/31/2017
Total Assets,2497797,2311810,2410120
Liabilities,,,
Total Liabilities,1185170,893724,928323
Stockholders' Equity,,,
Common Stock,69,216,220
Retained Earnings,-843278,-10229,88134
Total stockholders' equity,1312627,1418086,1481797
Total liabilities and stockholders' equity,2497797,2311810,2410120
