Breakdown,1/31/2019,1/31/2018,1/31/2017
Total Assets,646159,706170,658421
Liabilities,,,
Total Liabilities,112232,112692,113104
Stockholders' Equity,,,
Common Stock,27182,27182,27182
Total stockholders' equity,533927,593478,545318
Total liabilities and stockholders' equity,646159,706170,658421
