Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017
Purchases of investments,-30281,-12322,-61175,-97873
Sales/Maturities of investments,11320,5000,15841,-
Other investing activites,-,-,-,-11275
Net cash used for investing activites,-18961,-7322,-45334,-109148
Debt repayment,-,-,-,6471
Common stock issued,-,-,-,107169
Common stock repurchased,-,-,-,-5450
Dividends Paid,-13274,-12635,-13068,-3566
Net cash used privided by (used for) financing activities,-159,-7417,34662,104624
Net change in cash,-4469,-2794,2517,3674
Cash at beginning of period,13322,6965,4448,774
Cash at end of period,8853,4171,6965,4448
Free Cash Flow,14651,11945,13189,8198
