Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Purchases of investments,-367800,-367800,-278900,-163400,-234800
Sales/Maturities of investments,161400,161400,262500,49800,19300
Other investing activites,-,-,-3000,-11500,-
Net cash used for investing activites,-192100,-192100,-11800,-125100,-215500
Debt repayment,-425600,-425600,-292400,-115800,-483700
Common stock issued,162400,162400,-,-,94400
Common stock repurchased,-,-,-12900,-1800,-
Dividends Paid,-106100,-106100,-113300,-105300,-86200
Other financing activites,-19900,-19900,-,-,-22300
Net cash used privided by (used for) financing activities,21700,21700,-103300,46200,106000
Net change in cash,-56600,-56600,2700,46500,5700
Cash at beginning of period,61400,61400,58700,12200,6500
Cash at end of period,4800,4800,61400,58700,12200
Free Cash Flow,113800,113800,117800,125400,115200
