Breakdown,ttm,6/30/2019,6/30/2018,6/30/2017,6/30/2016
Investments in property plant and equipment,-,-446.229,-455.149,-988.937,-199.353
Acquisitions net,-,-,-,-500,-450.111
Purchases of investments,-,-,-,-249.56,-
Sales/Maturities of investments,-,-,-,429,-
Other investing activites,-656.761,-133.874,34.572,-164.401,-
Net cash used for investing activites,-10241,-580.103,-220.798,2233,-649.464
Debt repayment,-,-,-,-,-700
Common stock issued,4067,2481,392.55,-,6739
Common stock repurchased,-,-97.364,-33.255,-,-1761
Other financing activites,-,-,-,-,-410.312
Net cash used privided by (used for) financing activities,17257,2384,359.295,-,3868
Net change in cash,2653,-717.561,-1143,-520.092,2864
Cash at beginning of period,901.401,1717,2861,3381,516.595
Cash at end of period,3554,999.66,1717,2861,3381
Capital Expenditure,-,-446.229,-455.149,-988.937,-199.353
Free Cash Flow,-4686,-2967,-1737,-3742,-553.89
