Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,14383,102454,122666,943
Depreciation & amortization,-,189372,196561,141826
Change in working capital,-,448969,-286898,-111542
Inventory,-,165275,4450,16623
Other working capital,-,-215298,-114260,-138086
Other non-cash items,-,31056,5377,30061
Net cash provided by operating activites,-,-23928,43327,43200
Investments in property plant and equipment,-,-191370,-157587,-181286
Acquisitions net,-,-,-32335,-
Purchases of investments,-,-2493,-2658,-2816
Sales/Maturities of investments,-,-,-,82251
Other investing activites,-,-32,1667,-1992
Net cash used for investing activites,-,1284178,-190913,-103782
Net change in cash,-,1160780,127952,-340496
Cash at beginning of period,-,1067746,939793,1280289
Cash at end of period,-,2228526,1067746,939793
Operating Cash Flow,-,-23928,43327,43200
Capital Expenditure,-,-191370,-157587,-181286
Free Cash Flow,-,-215298,-114260,-138086
