Breakdown,ttm,3/31/2019,3/31/2018,3/31/2017
Net Income,-189568,-158640,-123989,-92794
Depreciation & amortization,-,1773,5049,4554
Stock based compensation,-,-,0,34783
Change in working capital,-,154200,-97540,-259291
Inventory,-,-57688,-4954,-32828
Other working capital,511,104112,-129676,-288896
Other non-cash items,-,12633,62760,29306
Net cash provided by operating activites,8477,116456,-128683,-281816
Investments in property plant and equipment,-7966,-12344,-993,-7080
Acquisitions net,-,0,-241432,0
Other investing activites,-,33890,156748,204350
Net cash used for investing activites,-113974,-331633,-23505,263318
Net change in cash,-105496,-152787,-184980,-38938
Cash at beginning of period,137356,281922,464026,506806
Cash at end of period,31860,127285,281922,464026
Operating Cash Flow,8477,116456,-128683,-281816
Capital Expenditure,-7966,-12344,-993,-7080
Free Cash Flow,511,104112,-129676,-288896
