Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Net Income,-153700,-153700,-62500,-34800,-117887
Depreciation & amortization,595400,595400,440200,-,-
Stock based compensation,12700,12700,6300,-,-
Change in working capital,-161300,-161300,40400,-,-
Other working capital,257500,257500,101800,107950,-17730
Other non-cash items,40600,40600,-192500,218200,69500
Net cash provided by operating activites,437300,437300,296500,160000,14000
Investments in property plant and equipment,-179800,-179800,-194700,-34089,-29664
Acquisitions net,-21300,-21300,-756100,-32580,-162809
Sales/Maturities of investments,0,0,1800,355.0975,4859
Other investing activites,-,-,1000,-36300,0
Net cash used for investing activites,-125200,-125200,-725600,-37907,-164344
Net change in cash,-21300,-21300,154400,-56105,289391
Cash at beginning of period,421900,421900,270000,325802,24038
Cash at end of period,390100,390100,421900,269697,312832
Operating Cash Flow,437300,437300,296500,160000,14000
Capital Expenditure,-179800,-179800,-194700,-34089,-29664
Free Cash Flow,257500,257500,101800,107950,-17730
