Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,14926547,13680123,13334413,12542306
Liabilities,,,,
Total Liabilities,9677793,6849738,4435943,4253241
Stockholders' Equity,,,,
Common Stock,3396767,5646767,5646768,5646768
Total stockholders' equity,5248754,6830385,8898470,8289065
Total liabilities and stockholders' equity,14926547,13680123,13334413,12542306
