Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,51423,12576,69323,12532
Depreciation & amortization,-,129986,130566,132382
Change in working capital,-,2790,-21189,-80450
Inventory,-,-6068,-22780,-88646
Other working capital,-,-130469,309253,-234721
Other non-cash items,-,-24900,86535,-78553
Net cash provided by operating activites,-,67922,353301,-6506
Investments in property plant and equipment,-,-198391,-44048,-228215
Acquisitions net,-,-10900,-,-
Purchases of investments,-,-200457,-3332,-3279
Sales/Maturities of investments,-,10266,-,100000
Other investing activites,-,-5293,-10589,33162
Net cash used for investing activites,-,-404775,-57092,-78332
Net change in cash,-,-503007,123064,22503
Cash at beginning of period,-,1172929,1049864,1027361
Cash at end of period,-,669922,1172929,1049864
Operating Cash Flow,-,67922,353301,-6506
Capital Expenditure,-,-198391,-44048,-228215
Free Cash Flow,-,-130469,309253,-234721
