Breakdown,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Assets,1259915,699375,521843,551020
Liabilities,,,,
Total Liabilities,1122813,586065,419985,438761
Stockholders' Equity,,,,
Common Stock,74136,59844,56429,61819
Retained Earnings,62102,52350,44810,49828
Accumulated other comprehensive income,864.2286,1116,618.2049,611.4592
Total stockholders' equity,137102,113310,101858,112259
Total liabilities and stockholders' equity,1259915,699375,521843,551020
