Breakdown,9/30/2019,9/30/2018,9/30/2017,9/30/2016
Total Assets,16474910,15865724,15253580,14888063
Liabilities,,,,
Total Liabilities,14441915,13868816,13247892,12912332
Stockholders' Equity,,,,
Common Stock,135540,135343,134958,134308
Retained Earnings,1335909,1188971,1042890,943877
Accumulated other comprehensive income,15292,8294,5015,-11156
Total stockholders' equity,2032995,1996908,2005688,1975731
Total liabilities and stockholders' equity,16474910,15865724,15253580,14888063
