Breakdown,12/31/2019,12/31/2018,12/31/2017
Total Assets,544347,442085,208699
Liabilities,,,
Total Liabilities,174614,77924,7027
Stockholders' Equity,,,
Common Stock,3514,3514,2000
Retained Earnings,49286,25569,5672
Total stockholders' equity,369733,364161,201672
Total liabilities and stockholders' equity,544347,442085,208699
