Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Total Revenue,1027727,1027727,947653,920673,905406
Interest Expense,191987,191987,121515,57999,27708
Income Before Tax,285965,285965,223594,236346,207004
Income Tax Expense,42365,42365,27334,53370,48203
Income from Continuing Operations,243600,243600,196260,182976,158801
Net Income,243600,243600,195513,247105,158801
Net Income available to common shareholders,243600,243600,195513,247105,158801
Basic EPS,-,-,3.97,5.02,3.25
Diluted EPS,-,-,3.93,4.96,3.22
Basic Average Shares,-,-,49335,49224,48828
Diluted Average Shares,-,-,49771,49839,49277
