Breakdown,ttm,2/28/2019,2/28/2018,2/28/2017
Net Income,-536415,-464405,175346,298496
Depreciation & amortization,-,90932,42677,30805
Change in working capital,-,-236790,-81675,-249459
Inventory,-,-143824,-94379,-138342
Other working capital,-,-1328799,199317,-74902
Other non-cash items,-,-74141,64249,270
Net cash provided by operating activites,-,-1156290,335536,-30806
Investments in property plant and equipment,-,-172509,-136219,-44096
Acquisitions net,-,-923000,-,-
Other investing activites,-,-47834,6402,-188750
Net cash used for investing activites,-,-143343,-129817,-232846
Net change in cash,-,-202084,1997383,-65663
Cash at beginning of period,-,2896153,898769,964433
Cash at end of period,-,2694068,2896153,898769
Operating Cash Flow,-,-1156290,335536,-30806
Capital Expenditure,-,-172509,-136219,-44096
Free Cash Flow,-,-1328799,199317,-74902
