Breakdown,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016
Investments in property plant and equipment,-1472,-1472,-,-240,-184
Acquisitions net,-,-,-,-,-1196
Net cash used for investing activites,-1465,-1465,-,-240,-1380
Debt repayment,-,-,-,-670,-5
Other financing activites,-118,-118,-,-,-28
Net cash used privided by (used for) financing activities,1163,1163,170,2285,567
Net change in cash,-127,-127,-580,-296,-3098
Cash at beginning of period,418,418,1015,1334,4637
Cash at end of period,281,281,418,1015,1334
Capital Expenditure,-1472,-1472,-,-240,-184
Free Cash Flow,-1297,-1297,-750,-2581,-2469
